CASE;STARTED;AZ01_01;AZ01_02;AZ01_03;AZ01_04;AZ01_05;AZ01_06;AZ01_07;AZ01_08;AZ01_09;AZ01_10;AZ01_11;AZ01_12;AZ01_13;AZ01_14;AZ01_15;AZ02_01;AZ03_01;AZ04_01;AZ05_01;AZ05_02;AZ05_03;AZ05_04;AZ05_05;AZ05_06;AZ06_01;AZ06_02;AZ07_01;KQ01_01;KQ01_02;KQ01_03;KQ01_04;KQ01_05;KQ01_06;KQ01_07;KQ01_08;FQ01_01;FQ01_02;FQ01_03;FQ01_04;FQ01_05;FQ01_06;FQ01_07;FQ01_08;FQ01_09;FQ01_10;FQ01_11;FQ01_12;FQ01_13;FQ01_14;FQ01_15;FQ01_16;BK01_01;BK02_01;BK03_01;BK03_02;BK03_03;BK03_04;WL01_01;WL01_02;WL01_03;WL01_04;WL01_05;GE02_01;GE03_01;GE03_02;GE03_03;SD01;SD03_01;SD03_02;SD04;SD05_01
424;31.07.2018 08:34;4;3;1;4;3;5;4;2;2;2;1;4;3;5;2;4;3;4;2;1;4;2;3;4;2;4;4;4;4;4;3;4;4;5;4;3;4;5;5;5;4;5;5;4;4;5;5;4;5;5;5;5;4;1;2;4;2;4;2;4;5;5;3;4;3;3;2;10;11;21;52
425;31.07.2018 08:44;4;2;2;3;5;4;1;3;3;3;2;5;3;4;1;4;4;5;4;4;3;3;2;1;5;4;4;4;2;3;3;2;2;3;2;5;2;2;2;2;2;4;4;1;3;2;4;2;2;4;4;4;4;3;4;3;2;6;1;5;5;5;4;4;2;3;1;;3;21;30
426;31.07.2018 08:51;5;1;1;4;3;2;2;3;5;2;1;4;5;4;1;4;3;3;5;4;4;4;4;4;3;4;4;4;3;5;4;3;3;3;5;4;4;5;5;5;5;3;5;4;5;2;5;4;5;5;2;5;5;2;2;4;2;2;4;3;2;2;2;4;4;4;1;3;7;21;51
428;31.07.2018 09:31;5;1;1;5;3;4;1;3;2;4;2;3;3;3;1;4;2;4;4;4;5;4;3;4;4;4;4;4;4;5;3;4;4;4;5;4;5;3;4;4;3;4;4;3;4;4;4;3;4;4;4;5;3;3;3;5;1;4;1;3;5;4;2;4;3;2;1;3;1;21;25
429;31.07.2018 12:03;2;4;3;3;3;2;5;3;5;5;5;3;3;1;2;3;5;3;3;1;1;2;3;2;2;1;3;2;3;3;3;3;3;3;2;2;2;2;2;3;3;4;4;1;2;2;3;1;1;2;2;2;2;5;3;2;3;1;6;2;1;1;5;3;1;1;2;8;9;5;63
430;31.07.2018 12:31;5;1;1;5;5;2;5;1;2;2;1;5;5;4;1;5;1;5;5;5;4;5;5;5;5;5;5;5;3;5;4;4;4;4;3;5;5;5;5;5;5;5;4;3;3;2;5;3;3;4;4;4;4;4;4;5;2;4;4;5;5;5;3;4;4;4;2;5;2;5;21
432;31.07.2018 12:38;3;4;2;3;4;5;3;1;1;1;1;4;3;1;4;4;3;4;4;3;4;5;4;4;4;3;3;3;3;4;5;5;5;4;5;3;3;3;4;5;5;3;3;3;4;4;4;3;3;3;2;3;4;3;3;3;4;4;2;3;4;4;3;4;3;4;2;;1;21;34
436;31.07.2018 13:29;4;3;1;3;2;2;1;2;4;3;2;1;1;1;5;4;4;4;3;2;1;3;2;2;2;1;1;3;4;2;3;3;3;4;3;3;3;2;3;4;3;1;2;2;3;3;4;3;3;3;3;5;4;3;3;3;2;3;2;4;4;4;5;1;1;1;2;1;4;5;34
437;31.07.2018 13:38;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;4;2;3;3;3;3;3;3;3;3;3;5;4;3;3;4;4;NA;5;3;3;3;2;4;3;5;2;1;3;3;3;3;3;4;4;3;4;3;3;3;3;5;2;3;3;4;4;3;2;2;1;7;3;5;52
438;31.07.2018 13:39;3;3;3;5;3;3;3;3;3;3;2;3;2;1;5;2;4;3;3;3;3;3;3;3;2;3;3;2;3;4;2;3;3;3;3;1;3;1;1;3;3;1;3;1;1;2;1;1;2;4;4;1;3;5;5;5;5;3;3;3;3;4;4;3;3;4;2;4;19;5;52
439;31.07.2018 13:59;3;3;2;2;2;4;4;3;3;4;3;2;2;2;3;3;4;2;3;2;3;3;2;2;2;2;2;3;3;2;2;3;3;3;4;2;2;2;2;3;3;3;3;1;2;2;2;3;3;4;4;3;3;3;3;2;2;3;3;4;4;4;4;3;2;3;2;;21;21;45
440;31.07.2018 14:01;2;5;3;4;1;1;5;4;5;4;5;1;1;1;5;3;5;1;1;1;3;1;3;3;1;1;1;3;4;2;4;4;3;4;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;2;3;3;5;4;2;4;5;1;5;5;5;1;3;4;3;1;7;1;5;35
442;31.07.2018 14:19;5;1;3;4;2;1;5;3;4;2;3;2;1;1;4;3;2;4;2;4;4;3;2;4;1;2;3;4;3;4;4;4;4;4;3;3;4;2;3;3;3;3;3;4;4;3;3;4;4;4;4;3;3;5;4;3;4;3;3;3;3;4;4;3;2;1;2;3;11;21;57
